"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsstartwert","Datum gestartet","Datum letzte Aktivität","Wie alt sind Sie? (Angabe in Jahren)","Welchem Geschlecht fühlen Sie sich zugehörig?","Wie lange haben Sie sich in der Installation aufgehalten?","Haben Sie bereits Erfahrung mit interaktiven Kunstinstallationen?","Umgang mit Technologie  [     Wie sicher fühlen Sie sich im Umgang mit modernen digitalen Technologien? ]","Räumliche Präsenz Skala  [Ich hatte das Gefühl, dass ich in der Umgebung der Projektion tatsächlich anwesend war. ]","Räumliche Präsenz Skala  [Es schien, als ob ich tatsächlich an der Darstellung beteiligt war. ]","Räumliche Präsenz Skala  [Es kam mir vor, als hätte sich mein wahrer Standort in die Umgebung der Projektion verschoben. ]","Räumliche Präsenz Skala  [Ich hatte das Gefühl, dass ich in der Umgebung der Projektion physisch anwesend war.]","Haben Sie bemerkt, dass die Blumenprojektionen auf der rechten Seite auf die von Ihnen erzeugten Geräusche reagieren?","Haben Sie bemerkt, dass ihre Bewegung die Grashalmprojektion beeinflusst?","Interaktivität und Eingebundenheit     [Ich fühlte mich durch die Interaktivität des Systems stärker in das Erlebnis eingebunden.]","Interaktions Skala     [ Die Objekte in der Projektion gaben mir das Gefühl, dass ich mit ihnen etwas anfangen kann. ]","Interaktions Skala     [Ich hatte den Eindruck, dass ich in der Umgebung der Projektion agieren konnte. ]","Interaktions Skala     [Ich hatte das Gefühl, dass ich mich zwischen den Objekten in der Projektion bewegen konnte.]","Interaktions Skala     [Ich hatte den Eindruck, dass ich in der Umgebung der Projektion alles tun konnte, was ich wollte.]","Systemeffizienz  [Das System reagierte schnell und ohne spürbare Verzögerung auf meine Eingaben.]","Systemeffizienz  [Die Steuerung des Systems war intuitiv und leicht verständlich.]","Systemeffizienz  [Ich konnte meine beabsichtigten Aktionen problemlos ausführen.]","Gesamteindruck     [Wie zufrieden waren Sie insgesamt mit der Rauminstallation?]","Was hat Ihnen an der Installation am meisten gefallen?","Was hätte verbessert werden können?","Würden Sie diese Installation weiterempfehlen?","Gesamtzeit","Gruppenzeit: Biografische Fragen","Fragenzeit: G02Q02","Fragenzeit: G02Q03","Fragenzeit: G02Q04","Fragenzeit: G02Q05","Fragenzeit: G02Q06","Gruppenzeit: Subjektive Wahrnehmung von Räumlicher Präsenz in der Kunstinstallation","Fragenzeit: G03Q07","Gruppenzeit: Subjektive Wahrnehmung von Interaktionsmöglichkeiten in der Kunstinstallation","Fragenzeit: G04Q08","Fragenzeit: G04Q09","Fragenzeit: G04Q10","Fragenzeit: G04Q011","Gruppenzeit: Interaktion wurde wahrgenommen","Fragenzeit: G05Q12","Gruppenzeit: Zufriedenheit","Fragenzeit: G06Q13","Fragenzeit: G06Q14","Fragenzeit: G06Q15","Fragenzeit: G06Q16"
"1","2025-03-05 10:18:43","5","de","1804262882","2025-03-05 10:17:09","2025-03-05 10:18:43","30","weiblich","2-5 Minuten","Ja, einmal","4","5","5","5","5","Ja","Nein","5","4","5","4","5","4","5","4","5","interaktion","fps","Ja","96.9","20.25",,,,,,"13.58",,"33.38",,,,,"8.81",,"20.88",,,,
"2","2025-03-05 10:18:36","5","de","157347225","2025-03-05 10:17:27","2025-03-05 10:18:36","28","männlich","5-10 Minuten","Ja, mehrfach","5","5","5","3","4","Ja","Nein","5","5","4","5","5","5","5","4","5"," "," ","Ja","70.65","12.62",,,,,,"14.52",,"27.3",,,,,"8.5",,"7.71",,,,
"3","2025-03-05 11:24:38","5","de","1058931141","2025-03-05 11:21:08","2025-03-05 11:24:38","27","männlich","5-10 Minuten","Ja, einmal","5","5","5","5","5","Ja","Ja","5","5","5","5","4","4","5","5","5","Die Interaktion der Animation mit meiner Stimme","Größerer Raum","Ja","210.94","61.1",,,,,,"23.11",,"35.25",,,,,"13.46",,"78.02",,,,
"4","2025-03-05 11:32:09","5","de","460944274","2025-03-05 11:28:46","2025-03-05 11:32:09","15","weiblich","weniger als 2 Minuten","Nein","4","2","1","2","2","Ich bin mir unsicher","Ich bin mir unsicher","3","2","2","5","5","","","","2","","Es war ein wenig zu zweidimensional. ","Ich bin mir unsicher","205.5","57.57",,,,,,"36.2",,"50.37",,,,,,,"61.36",,,,
"5","2025-03-05 11:32:40","5","de","1399615259","2025-03-05 11:28:47","2025-03-05 11:32:40","43","weiblich","weniger als 2 Minuten","Ja, mehrfach","5","3","2","3","3","Ja","Ja","4","3","4","3","3","4","5","5","4","Kontrast zur Ausstellung an sich.","cr Codes instagram","Ich bin mir unsicher","235.34","60.01",,,,,,"35.5",,"46.35",,,,,"22.21",,"71.27",,,,
"6","2025-03-05 11:35:40","5","de","1614767119","2025-03-05 11:31:14","2025-03-05 11:35:40","69","weiblich","2-5 Minuten","Nein","2","4","2","2","4","Nein","Nein","3","4","3","3","4","","","","4","","Hinweis auf eigenes agieren war mir nicht klar","Ja","267.04","55.23",,,,,,"52.5",,"79.94",,,,,,,"79.37",,,,
"7","2025-03-05 11:36:19","5","de","1955787877","2025-03-05 11:32:10","2025-03-05 11:36:19","80","weiblich","5-10 Minuten","Nein","3","5","4","3","5","Ja","Ja","5","5","5","5","4","5","4","5","5","Farbe Interaktion "," ","Ja","252.23","45.43",,,,,,"53.78",,"86.7",,,,,"29.58",,"36.74",,,,
"8","2025-03-05 11:38:54","5","de","46747127","2025-03-05 11:34:38","2025-03-05 11:38:54","66","weiblich","2-5 Minuten","Ja, mehrfach","3","2","5","1","3","Ja","Ja","4","5","5","1","1","5","5","5","3","Blumen","mehr Flächen bespielen","Ja","258.53","45.44",,,,,,"50.51",,"66.56",,,,,"23.31",,"72.71",,,,
"9","2025-03-05 11:41:29","5","de","510244617","2025-03-05 11:37:47","2025-03-05 11:41:29","59","weiblich","Länger als 10 Minuten","Ja, einmal","1","3","4","4","5","Nein","Nein","2","3","2","4","2","","","","5","Die originelle Idee ","Dazu fehlt mir die Expertise. Habe keine Ahnung von Technik","Ja","223.55","37.73",,,,,,"41.36",,"61.4",,,,,,,"83.06",,,,
"10","2025-03-05 11:42:58","5","de","1325901983","2025-03-05 11:37:50","2025-03-05 11:42:58","58","weiblich","2-5 Minuten","Nein","3","5","2","3","3","Nein","Nein","3","1","4","1","1","","","","5","Farbigkeit","Etwas größerer Raum","Ja","309.52","49.51",,,,,,"65.59",,"91.44",,,,,,,"102.98",,,,
"11","2025-03-05 11:42:58","5","de","1315053466","2025-03-05 11:39:40","2025-03-05 11:42:58","61","weiblich","weniger als 2 Minuten","Ja, mehrfach","3","2","2","1","1","Nein","Nein","2","2","2","2","2","","","","2","Farben","Vieles nicht selbsterlärend","Ich bin mir unsicher","200.57","54.19",,,,,,"37.66",,"39.17",,,,,,,"69.55",,,,
"12","2025-03-05 11:47:35","5","de","1742134293","2025-03-05 11:40:09","2025-03-05 11:47:35","35","weiblich","2-5 Minuten","Ja, mehrfach","4","4","4","3","5","Ich bin mir unsicher","Ja","4","3","3","4","5","4","3","4","5","ich habe gefallen, dass man allein da sein kann, aber die Gruppe von Menschen angekommen und Gespräche stören","Bank da drin um sich zu sitzen","Ja","447.67","55.06",,,,,,"87.5",,"75.82",,,,,"72.89",,"156.4",,,,
"13","2025-03-05 11:49:49","5","de","144712812","2025-03-05 11:44:47","2025-03-05 11:49:48","52","weiblich","2-5 Minuten","Nein","4","4","4","4","4","Ich bin mir unsicher","Nein","3","3","2","2","2","","","","5","","","Ja","302.78","51.97",,,,,,"121",,"88.82",,,,,,,"40.99",,,,
"14","2025-03-05 11:49:55","5","de","2095520730","2025-03-05 11:44:54","2025-03-05 11:49:55","17","weiblich","2-5 Minuten","Nein","3","4","5","4","4","Ich bin mir unsicher","Ich bin mir unsicher","4","3","4","4","4","","","","5","","","Ja","304.19","81.07",,,,,,"69.59",,"121.84",,,,,,,"31.69",,,,
"15","2025-03-05 11:54:33","5","de","1391994033","2025-03-05 11:46:41","2025-03-05 11:54:33","40","weiblich","2-5 Minuten","Ja, einmal","3","4","2","1","1","Ja","Nein","4","2","2","2","4","4","1","4","3","","","Ja","474.9","74.48",,,,,,"104.42",,"168",,,,,"47.22",,"80.78",,,,
"16","2025-03-05 12:00:49","5","de","377966524","2025-03-05 11:51:21","2025-03-05 12:00:49","10","weiblich","2-5 Minuten","Ja, mehrfach","4","5","4","3","4","Ja","Ja","4","4","3","4","2","2","3","3","3","Die Bewegungen ","An allen Seiten Bilder","Ja","569.83","133.75",,,,,,"93.95",,"174.16",,,,,"71.5",,"96.47",,,,
"17","2025-03-05 12:14:40","5","de","1389412920","2025-03-05 11:57:38","2025-03-05 12:14:40","78","weiblich","2-5 Minuten","Ja, einmal","3","4","4","3","4","Ja","Nein","4","4","2","1","5","5","1","1","4","Langsame wachsen ","","Ja","1025.04","724.93",,,,,,"52",,"111.5",,,,,"41.22",,"95.39",,,,
"18","2025-03-05 12:02:30","5","de","1314098799","2025-03-05 11:57:55","2025-03-05 12:02:30","58","männlich","5-10 Minuten","Nein","2","2","2","3","2","Ja","Nein","4","2","2","3","2","4","4","3","4","die Farben ","nichts ","Ja","277.94","106.7",,,,,,"47.14",,"55.62",,,,,"20.62",,"47.86",,,,
"19","2025-03-05 12:02:31","5","de","1480751699","2025-03-05 11:58:06","2025-03-05 12:02:31","63","weiblich","2-5 Minuten","Nein","2","4","3","1","4","Ja","Nein","5","2","4","3","1","2","2","3","5","Verbindung Geräusch und Bewegung","Weiß nicht","Ja","266.98","30.18",,,,,,"51.91",,"72.76",,,,,"29.47",,"82.66",,,,
"20","2025-03-05 12:11:10","5","de","422752849","2025-03-05 12:07:09","2025-03-05 12:11:10","35","männlich","2-5 Minuten","Ja, mehrfach","4","4","3","3","3","Ich bin mir unsicher","Nein","4","4","2","3","4","","","","4","Die progressive Blumemninstalltion","Mehr spürbare Interaktion ","Ja","242.94","36.17",,,,,,"21.66",,"104.89",,,,,,,"80.22",,,,
"21","2025-03-05 12:23:06","5","de","388344168","2025-03-05 12:13:10","2025-03-05 12:23:06","13","weiblich","5-10 Minuten","Ja, einmal","2","3","3","4","4","Ja","Nein","3","5","5","2","4","5","4","5","5","dass man eben selbst an dieser Kunst auf unkomplizierte weise teilhaben konnte ","vlt hätte man noch eine Erklärung zur Installation  schreiben können ","Ja","599.55","123.94",,,,,,"80.13",,"138.95",,,,,"37.67",,"218.86",,,,
"22","2025-03-05 12:21:28","5","de","678280159","2025-03-05 12:16:24","2025-03-05 12:21:28","66","männlich","2-5 Minuten","Ja, mehrfach","5","5","5","4","5","Ja","Ja","4","5","5","5","5","4","4","4","5"," "," ","Ja","209.67","62.46",,,,,,"42.98",,"68.73",,,,,"23.07",,"12.43",,,,
"23","2025-03-05 12:19:05","5","de","1763414019","2025-03-05 12:16:33","2025-03-05 12:19:05","62","weiblich","2-5 Minuten","Nein","1","1","1","1","1","Ich bin mir unsicher","Ich bin mir unsicher","1","1","1","1","1","","","","2","","","Ich bin mir unsicher","154.9","47.76",,,,,,"26.49",,"50.38",,,,,,,"30.27",,,,
"24","2025-03-05 12:19:54","5","de","2035003977","2025-03-05 12:17:06","2025-03-05 12:19:54","36","männlich","2-5 Minuten","Ja, mehrfach","4","1","3","2","2","Ja","Ja","2","2","3","2","1","2","1","2","2","","","Ich bin mir unsicher","171.69","33.82",,,,,,"41.79",,"43.51",,,,,"16.05",,"36.52",,,,
"25","2025-03-05 12:26:06","5","de","1791867928","2025-03-05 12:19:50","2025-03-05 12:26:06","30","weiblich","2-5 Minuten","Nein","4","4","3","2","5","Ja","Nein","5","4","4","3","3","4","4","4","4","Ausprobieren und Entdecken zusammen muntern anderen Besucher*innen","Zum Handeln ermutigen","Ja","377.45","45.57",,,,,,"32.88",,"76.41",,,,,"24.01",,"198.58",,,,
"26","2025-03-05 12:24:25","5","de","448691941","2025-03-05 12:21:43","2025-03-05 12:24:25","60","weiblich","5-10 Minuten","Ja, mehrfach","4","4","5","1","4","Ja","Ja","5","5","4","4","4","4","4","4","5"," "," ","Ja","163.65","23.33",,,,,,"51.14",,"27.77",,,,,"40.26",,"21.15",,,,
"27","2025-03-05 12:24:44","5","de","383524947","2025-03-05 12:21:58","2025-03-05 12:24:44","56","weiblich","2-5 Minuten","Ja, einmal","3","4","3","2","4","Ich bin mir unsicher","Nein","4","4","3","4","4","","","","3","","Erklärung im Raum","Ja","168.91","24.92",,,,,,"40.03",,"43.69",,,,,,,"60.27",,,,
"28","2025-03-05 12:32:36","5","de","956319834","2025-03-05 12:25:52","2025-03-05 12:32:36","63","weiblich","5-10 Minuten","Ja, mehrfach","3","4","4","3","3","Ja","Nein","4","4","4","4","3","3","4","4","4","eine neue Vision von Natur.","Ich hätte das schon früher als Kontrast zu der Ausstellung eingesetzt. So War es erst das Alte, dann das Neue. Insgesamt hätte man die Ausstellung viel spannender gestalten können.","Ja","407.46","57.22",,,,,,"43.51",,"56.02",,,,,"21.86",,"228.85",,,,
"29","2025-03-05 12:33:53","5","de","1055463724","2025-03-05 12:25:53","2025-03-05 12:33:53","63","weiblich","2-5 Minuten","Ja, mehrfach","3","4","4","1","4","Ja","Ja","5","5","4","5","3","4","3","5","4","Dadurch war die Kunst der RR gegenwärtiger und lebendiger. Die Zeitschranke zur Vergamgenheit wurde durchlässiger","Die Installation könnte mehr in die Ausstellungintegriert sein","Ja","480.16","81.79",,,,,,"58.22",,"58.04",,,,,"25.02",,"257.09",,,,
"30","2025-03-05 12:30:05","5","de","588369187","2025-03-05 12:27:14","2025-03-05 12:30:05","68","weiblich","weniger als 2 Minuten","Ja, einmal","4","1","1","1","1","Nein","Nein","1","1","1","1","5","","","","2","","","Ich bin mir unsicher","173.67","45.87",,,,,,"37.61",,"53.59",,,,,,,"36.6",,,,
"31","2025-03-05 12:32:43","5","de","748848941","2025-03-05 12:30:16","2025-03-05 12:32:43","15","weiblich","2-5 Minuten","Ja, mehrfach","4","5","5","5","5","Ja","Ja","4","4","4","4","4","4","4","4","5","Das Interaktive ","","Ja","150.13","27.58",,,,,,"19.68",,"53.84",,,,,"14.23",,"34.8",,,,
"32","2025-03-05 12:42:17","5","de","865705314","2025-03-05 12:33:54","2025-03-05 12:42:17","73","männlich","2-5 Minuten","Ja, einmal","3","2","3","4","3","Nein","Nein","1","1","2","2","1","","","","2","Wachsende Blumen","Erläuterung nicht vorhanden oder nicht bemerkt","Ja","504.92","84.65",,,,,,"124.56",,"127.9",,,,,,,"167.81",,,,
"33","2025-03-05 12:39:49","5","de","1952544970","2025-03-05 12:35:45","2025-03-05 12:39:48","69","weiblich","2-5 Minuten","Ja, einmal","2","5","3","5","5","Nein","Ja","5","5","4","5","3","5","5","5","5","Grasbwewgung und Wachstum in Detail "," ","Ja","244.87","35.02",,,,,,"38.28",,"86.07",,,,,"21.5",,"64",,,,
"34","2025-03-05 12:39:20","5","de","1449888516","2025-03-05 12:36:32","2025-03-05 12:39:20","67","weiblich","2-5 Minuten","Nein","3","3","3","3","3","Nein","Nein","2","3","3","2","1","","","","3","","","Ich bin mir unsicher","169.74","39.48",,,,,,"30.68",,"66.43",,,,,,,"33.15",,,,
"35","2025-03-05 12:48:21","5","de","759809425","2025-03-05 12:43:46","2025-03-05 12:48:21","78","weiblich","2-5 Minuten","Ja, mehrfach","3","2","2","1","2","Ja","Nein","3","3","4","4","2","4","3","3","3","Geräusche im Hintergrund","Die Graswiese War mir zu eintönig","Ich bin mir unsicher","275.68","64.04",,,,,,"44.57",,"66.01",,,,,"23.91",,"77.15",,,,
"36","2025-03-05 12:51:49","5","de","433931004","2025-03-05 12:47:46","2025-03-05 12:51:49","62","männlich","2-5 Minuten","Nein","3","2","1","1","1","Nein","Ja","1","3","2","2","1","1","2","2","3","Farbe","","Ja","245.65","43.95",,,,,,"53.17",,"63.75",,,,,"48.5",,"36.28",,,,
"37","2025-03-05 12:52:34","5","de","510283715","2025-03-05 12:47:55","2025-03-05 12:52:34","69","weiblich","2-5 Minuten","Ja, mehrfach","3","3","3","2","3","Nein","Ja","4","4","3","4","4","3","3","3","4","die bewegung","","Ja","281.84","71.81",,,,,,"44.61",,"74.52",,,,,"24.3",,"66.6",,,,
"38","2025-03-05 12:57:30","5","de","212787760","2025-03-05 12:51:32","2025-03-05 12:57:30","72","weiblich","2-5 Minuten","Ja, einmal","2","4","2","3","3","Nein","Nein","3","3","2","3","4","","","","3","","Ein größerer Hinweis auf die Interaktion","Ja","300.09","81.31",,,,,,"44.66",,"60.48",,,,,,,"113.64",,,,
"39","2025-03-05 13:03:33","5","de","1028753975","2025-03-05 12:56:38","2025-03-05 13:03:33","84","weiblich","5-10 Minuten","Ja, mehrfach","1","5","5","3","5","Ja","Ja","3","4","5","4","5","5","5","5","4","Das man auf die Bewegung Einfluss haben kann"," ","Ja","417.6","80",,,,,,"85.99",,"76",,,,,"30.98",,"144.63",,,,
"40","2025-03-05 13:05:11","5","de","1643699922","2025-03-05 12:59:37","2025-03-05 13:05:11","70","weiblich","weniger als 2 Minuten","Ja, mehrfach","1","2","4","2","2","Ja","Ja","4","4","5","3","5","4","4","3","4","Das entstehende Bikd","Ggf. eine kurze Einweisung vorab ...","Ja","336.91","46.51",,,,,,"86.42",,"82.81",,,,,"21.33",,"99.84",,,,
"41","2025-03-05 13:11:35","5","de","740959471","2025-03-05 13:03:38","2025-03-05 13:11:35","77","männlich","2-5 Minuten","Nein","4","1","2","2","4","Ja","Nein","2","2","2","1","4","2","2","1","4","Die Entwicklung des ""Gemäldes"".","Detailliertere Beschreibung der Interaktionsmöglichkeiten vorab.","Ja","477.36","38.72",,,,,,"102.96",,"117.19",,,,,"19.34",,"199.15",,,,
"42","2025-03-05 13:10:24","5","de","236259429","2025-03-05 13:03:39","2025-03-05 13:10:24","71","weiblich","2-5 Minuten","Nein","3","3","2","3","5","Ich bin mir unsicher","Nein","2","3","2","2","5","","","","3","die Umgewissheit, ob ich persönlich wirklich einen Einfluss auf die Bildformung hatte.","eine etwas verbesserte Anleitung, wie ich das Geschehen beeinflussen kann.","Ja","407.18","43.8",,,,,,"74.71",,"66.39",,,,,,,"222.28",,,,
"43","2025-03-05 13:10:45","5","de","374048075","2025-03-05 13:05:27","2025-03-05 13:10:45","80","weiblich","5-10 Minuten","Nein","2","5","1","1","5","Nein","Nein","2","5","2","2","4","","","","5","Wachstum"," ","Ja","319.92","86.62",,,,,,"114.35",,"54.22",,,,,,,"64.73",,,,
"44","2025-03-05 13:15:27","5","de","1084995000","2025-03-05 13:11:44","2025-03-05 13:15:27","16","weiblich","2-5 Minuten","Ja, einmal","3","4","2","2","2","Nein","Nein","4","3","3","3","4","","","","3","Das die auf Bewegungen reagiert hat","Geräusche ","Ich bin mir unsicher","225.38","80.15",,,,,,"37.98",,"65.51",,,,,,,"41.74",,,,
"45","2025-03-05 13:16:50","5","de","1977080165","2025-03-05 13:12:42","2025-03-05 13:16:50","29","weiblich","weniger als 2 Minuten","Nein","3","3","3","2","3","Ja","Nein","4","3","3","4","2","2","2","3","3","Sehr schöne Darstellung","offensichtlicher Erklärung selbst tätig zu werden","Ja","250.71","62.08",,,,,,"31.35",,"43.27",,,,,"15.71",,"98.3",,,,
"46","2025-03-05 13:20:52","5","de","231171458","2025-03-05 13:17:27","2025-03-05 13:20:52","15","männlich","weniger als 2 Minuten","Nein","5","3","3","3","3","Ich bin mir unsicher","Nein","3","3","3","3","3","","","","3","Die Qualität ","Nichts","Ich bin mir unsicher","205.7","43.98",,,,,,"35.36",,"76.92",,,,,,,"49.44",,,,
