Antwort ID;Letzte Seite;Start-Sprache;Zufallsstartwert;Wie alt sind Sie? (Angabe in Jahren);Welchem Geschlecht fühlen Sie sich zugehörig?;Wie lange haben Sie sich in der Installation aufgehalten?;Haben Sie bereits Erfahrung mit interaktiven Kunstinstallationen?;Umgang mit Technologie  [     Wie sicher fühlen Sie sich im Umgang mit modernen digitalen Technologien? ];Räumliche Präsenz Skala  [Ich hatte das Gefühl, dass ich in der Umgebung der Projektion tatsächlich anwesend war. ];Räumliche Präsenz Skala  [Es schien, als ob ich tatsächlich an der Darstellung beteiligt war. ];Räumliche Präsenz Skala  [Es kam mir vor, als hätte sich mein wahrer Standort in die Umgebung der Projektion verschoben. ];Räumliche Präsenz Skala  [Ich hatte das Gefühl, dass ich in der Umgebung der Projektion physisch anwesend war.];Haben Sie bemerkt, dass die Blumenprojektion sich durch den/die Sound/Geräusche beeinflussen lässt?;Haben Sie bemerkt, dass ihre Handbewegung die Projektion auf der linken Seite beeinflusst?;Interaktivität und Eingebundenheit     [Ich fühlte mich durch die Interaktivität des Systems stärker in das Erlebnis eingebunden.];Interaktions Skala     [ Die Objekte in der Projektion gaben mir das Gefühl, dass ich mit ihnen etwas anfangen kann. ];Interaktions Skala     [Ich hatte den Eindruck, dass ich in der Umgebung der Projektion agieren konnte. ];Interaktions Skala     [Ich hatte das Gefühl, dass ich mich zwischen den Objekten in der Projektion bewegen konnte.];Interaktions Skala     [Ich hatte den Eindruck, dass ich in der Umgebung der Projektion alles tun konnte, was ich wollte.];Systemeffizienz  [Das System reagierte schnell und ohne spürbare Verzögerung auf meine Eingaben.];Systemeffizienz  [Die Steuerung des Systems war intuitiv und leicht verständlich.];Systemeffizienz  [Ich konnte meine beabsichtigten Aktionen problemlos ausführen.];Gesamteindruck     [Wie zufrieden waren Sie insgesamt mit der Rauminstallation?];Was hat Ihnen an der Installation am meisten gefallen?;Was hätte verbessert werden können?;Würden Sie diese Installation weiterempfehlen?;Gesamtzeit;Gruppenzeit: Biografische Fragen;Fragenzeit: G02Q02;Fragenzeit: G02Q03;Fragenzeit: G02Q04;Fragenzeit: G02Q05;Fragenzeit: G02Q06;Gruppenzeit: Subjektive Wahrnehmung von Räumlicher Präsenz in der Kunstinstallation;Fragenzeit: G03Q07;Gruppenzeit: Subjektive Wahrnehmung von Interaktionsmöglichkeiten in der Kunstinstallation;Fragenzeit: G04Q08;Fragenzeit: G04Q09;Fragenzeit: G04Q10;Fragenzeit: G04Q011;Gruppenzeit: Interaktion wurde wahrgenommen;Fragenzeit: G05Q12;Gruppenzeit: Zufriedenheit;Fragenzeit: G06Q13;Fragenzeit: G06Q14;Fragenzeit: G06Q15;Fragenzeit: G06Q16
1;5;de;741096824;28;männlich;5-10 Minuten;Ja, mehrfach;4;5;5;4;4;Ja;Ja;5;5;5;5;5;5;5;5;5; ; ;Ja;64.24;20.81;;;;;;13.24;;15.84;;;;;Jun 17;;Aug 18;;;;
2;5;de;1961816463;61;weiblich;2-5 Minuten;Ja, mehrfach;3;3;2;4;3;Ja;Ja;5;4;4;4;3;5;5;5;5;Kombi- Raum/Licht-geräu;Alles gut;Ja;212.87;33.07;;;;;;32.21;;45.95;;;;;14.24;;87.4;;;;
3;5;de;1265896231;63;weiblich;Länger als 10 Minuten;Ja, mehrfach;1;5;5;5;5;Ja;Ja;5;5;5;5;5;5;5;5;5;Die Interaktion und eIne neue Wahrnehmung der Dinge;ch;Ja;285.96;30.42;;;;;;26;;37.01;;;;;Nov 77;;180.76;;;;
4;5;de;840209447;44;weiblich;5-10 Minuten;Ja, mehrfach;1;4;4;4;4;Ja;Ja;4;4;4;4;4;5;5;5;5;Auswahl der Bilder im der zweiten Installation, sehr filigran und dass sie mit Musik unterlegt war;nichts;Ja;266.63;46.05;;;;;;35.7;;54.38;;;;;22. Sep;;108.41;;;;
5;5;de;889877015;70;weiblich;weniger als 2 Minuten;Nein;2;1;1;1;5;Nein;Ja;1;1;1;1;1;3;3;3;1; ;Zu eng(kleiner Raum);Nein;251.67;47.61;;;;;;51.95;;68.35;;;;;25. Mär;;58.46;;;;
6;5;de;608237995;71;männlich;2-5 Minuten;Nein;4;3;3;3;4;Ich bin mir unsicher;Ich bin mir unsicher;4;4;4;4;4;;;;5;The constant  change.;Wasn't clear where to make movements;Ja;326.39;64.92;;;;;;50.62;;83.52;;;;;;;127.33;;;;
7;5;de;665218657;50;männlich;2-5 Minuten;Ja, einmal;3;5;4;4;4;Ja;Ja;5;5;5;5;5;5;5;5;5;Blumen;Etwas langsamer;Ja;124.35;50.64;;;;;;20.83;;19. Dez;;;;;Jul 38;;26.38;;;;
8;5;de;1120963421;22;weiblich;5-10 Minuten;Ja, mehrfach;4;4;3;4;4;Ja;Ich bin mir unsicher;4;5;4;3;3;5;5;5;4;Farben;mehr platz dazwischen;Ja;170.8;57.17;;;;;;25.22;;42.27;;;;;16.81;;29.33;;;;
9;5;de;677594590;25;weiblich;2-5 Minuten;Nein;5;4;5;2;3;Nein;Nein;5;3;4;2;3;;;;4;Die Interaktion durch bloßes Handbewegen. Hatte ich so noch nie gesehen und erlebt;Kurze Beschreibung/Anweisung vorher. Ich hatte beim ersten Hineingehen nicht bemerkt, dass ich mir der Projektion interagieren konnte;Ja;337.56;50.92;;;;;;51.64;;90.41;;;;;;;144.59;;;;
10;5;de;299569622;70;weiblich;5-10 Minuten;Nein;1;3;4;1;5;Ja;Ja;3;5;5;1;5;2;3;3;5;KI; ;Ja;178.58;28.23;;;;;;36.28;;60.22;;;;;27.63;;26.22;;;;
11;5;de;1919966208;68;weiblich;5-10 Minuten;Ja, mehrfach;3;4;4;4;4;Ja;Ja;4;4;3;4;2;4;4;4;4;die plastizität und Kombination von Gestaltung mit sound;Rhythmus von langsamen und schnellen Bildwechsel und pausen;Ja;345.54;122.98;;;;;;32.16;;46.19;;;;;18.72;;125.49;;;;
12;5;de;1646622593;38;weiblich;2-5 Minuten;Ja, mehrfach;4;5;5;4;4;Ja;Ja;5;5;4;4;3;4;5;5;5;Schnelligkeit der reaktion, einführungstext kurz und knapp, multisensorisches erleben von Kunst, geglückter Transfer visuell erfasstes in Aktion zu überführen, Motive und Farbigkeit ;Fußabdruck auf dem Boden;Ja;527.62;43.48;;;;;;58.12;;74.86;;;;;68.01;;283.15;;;;
13;5;de;1079699754;69;weiblich;2-5 Minuten;Ja, mehrfach;3;5;5;4;5;Nein;Ja;5;5;5;5;5;5;5;4;5;Rechte seite;externe geräusche;Ja;238.71;52.36;;;;;;39.84;;62.3;;;;;23.66;;60.55;;;;
14;5;de;745582240;41;weiblich;weniger als 2 Minuten;Nein;3;3;5;1;3;Ja;Ja;5;3;5;3;3;5;2;3;5;Die Schönheit der Bilder, die sich ständig wandelten ;Anleitung. Andere Besucher standen unbeweglich und so hatte ich wenig Möglichkeiten, die Installation zu erleben (statt nur zu beobachten);Ja;296.67;51.55;;;;;;43.9;;54.4;;;;;17.34;;129.48;;;;
15;5;de;985651063;80;weiblich;5-10 Minuten;Ja, mehrfach;3;5;5;4;5;Nein;Ja;5;3;5;4;5;5;5;5;5;Rechte seite; ;Ja;217.99;46.51;;;;;;40.23;;74.96;;;;;18. Sep;;38.2;;;;
16;5;de;862988544;76;weiblich;weniger als 2 Minuten;Nein;3;5;5;5;5;Ja;Ja;5;5;4;5;5;5;2;5;5; ; ;Ja;204.39;47.54;;;;;;41.8;;65.91;;;;;27.84;;21. Mär;;;;
17;5;de;645899840;28;weiblich;5-10 Minuten;Nein;4;4;4;3;4;Ja;Ja;4;4;4;3;3;4;4;4;4;Die Interaktion und das Gefühl direkt mittendrin zu sein;;Ja;179.57;27.27;;;;;;28.73;;52.32;;;;;14.96;;56.29;;;;
18;5;de;387960227;80;weiblich;2-5 Minuten;Nein;4;4;5;2;2;Nein;Ja;4;2;4;2;4;5;4;4;3;Die Farben die interpolation;Hinweise;Ja;343.39;54.74;;;;;;67.1;;73.64;;;;;37.21;;110.7;;;;
19;5;de;1148125868;69;weiblich;2-5 Minuten;Nein;3;3;5;2;2;Ja;Ja;5;5;5;2;5;5;4;5;4;Überraschungseffekte, aktiv werden zu können;;Ja;520.53;43.36;;;;;;66.05;;71.8;;;;;31.63;;307.69;;;;
20;5;de;810540740;23;männlich;2-5 Minuten;Ja, einmal;3;4;5;2;3;Ja;Ja;4;4;4;5;5;5;5;5;5;;;Ja;255.25;72.01;;;;;;57.85;;77.76;;;;;15. Feb;;32.61;;;;
21;5;de;1367149119;21;weiblich;2-5 Minuten;Nein;3;5;5;3;3;Nein;Ja;5;4;5;1;2;5;3;4;4;Interaktion mit der Kunst;Erklärungen über die Geräte und deren Funktion;Ja;196.74;34.25;;;;;;25.75;;53.82;;;;;15.24;;67.68;;;;
22;5;de;985698465;43;weiblich;2-5 Minuten;Ja, mehrfach;5;5;5;4;3;Ja;Ja;5;5;4;5;5;5;5;5;5;;;Ja;254.13;75.35;;;;;;36.54;;56.21;;;;;17.87;;68.16;;;;
23;5;de;1469059518;68;weiblich;2-5 Minuten;Nein;3;2;4;1;2;Ja;Ja;4;3;3;1;4;4;4;3;5;Dass man was verändern konnte, Einflussnahme;360 Grad und Hinweise;Ja;308.5;41.11;;;;;;76.25;;75.83;;;;;28.74;;86.57;;;;
24;5;de;455371591;66;männlich;2-5 Minuten;Ja, einmal;1;4;5;4;5;Nein;Ja;4;4;4;3;3;4;3;3;4;Mögliche Interaktion mit kreativer Ansätzen;Anleitung zur Durchführung;Ja;252.34;31.77;;;;;;35.91;;55.77;;;;;24.92;;103.97;;;;
25;5;de;909274173;60;weiblich;2-5 Minuten;Nein;3;4;4;1;3;Nein;Ja;3;2;3;3;4;3;2;2;3;Interessant, aber gefallen kann ich nicht sagen;Persönliche Erklärung wichtig, die Technik ist für mich etwas unberührend;Ich bin mir unsicher;534.96;38.85;;;;;;118.89;;129.27;;;;;33.79;;214.16;;;;
26;5;de;1375019028;59;weiblich;5-10 Minuten;Ja, mehrfach;2;5;4;2;2;Nein;Ja;5;4;4;4;3;5;2;3;4;dass ich Bilder mit meinen Bewegungen generieren konnte, schnelles Tempo, visuell interessant und einfangend;persönlich Erklärung War für mich notwendig, ohne euch Künstler wäre es mir zu flüchtig gewesen ;Ja;622.34;41.43;;;;;;50.55;;140.7;;;;;35.35;;354.31;;;;
27;5;de;1314726727;71;männlich;2-5 Minuten;Ja, einmal;4;2;2;2;1;Nein;Ja;2;3;3;2;1;5;5;5;5;;;Ja;211.55;48.7;;;;;;34.26;;63.81;;;;;21.29;;43.49;;;;
28;5;de;90057662;64;weiblich;2-5 Minuten;Ja, einmal;3;4;4;2;3;Ja;Ja;5;4;5;2;3;5;5;5;4;Das agieren mit den händen, Reaktion auf die sehr lauten geräusche. mir gefällt, wenn etwas sehr dynamisch ist;;Ja;352.12;44.33;;;;;;42.62;;87.08;;;;;18.92;;159.17;;;;
29;5;de;1867922058;39;männlich;2-5 Minuten;Ja, mehrfach;5;4;5;4;5;Ja;Ja;4;5;5;3;5;4;4;5;5;Hand Installation und vogelgeräusche aus den tropen;Größere Leinwand ;Ja;165.36;24.88;;;;;;28.56;;38.6;;;;;11. Mär;;62.02;;;;
30;5;de;69032209;39;männlich;2-5 Minuten;Ja, mehrfach;5;4;5;4;5;Ja;Ja;4;5;5;4;5;4;5;5;5;Hand installation;grössere Leinwand , getrennte Räume ;Ja;155.69;30.76;;;;;;18. Aug;;43.05;;;;;Sep 43;;54.37;;;;
31;5;de;163466648;61;weiblich;5-10 Minuten;Ja, mehrfach;4;3;4;2;1;Ich bin mir unsicher;Ja;5;5;4;5;5;5;4;5;5;die Kombi Töne und bild, der handscanner;bei der handscanner Aktion mehr erklärung;Ja;273.14;39.23;;;;;;45.07;;70.07;;;;;23.27;;95.5;;;;
32;5;de;1387176062;28;weiblich;2-5 Minuten;Nein;5;1;4;1;5;Ich bin mir unsicher;Ich bin mir unsicher;1;1;5;5;2;;;;5;Dirigieren und es beeinflussen zu können ;Erklärung dazu wäre schön;Ja;337.96;54.12;;;;;;62.84;;131.78;;;;;;;89.22;;;;
33;5;de;1585115184;33;männlich;weniger als 2 Minuten;Ja, mehrfach;5;5;4;4;4;Ja;Ja;5;5;5;5;3;4;2;4;4;Hübsche Blumen und Farben;"Prägnantere ""Arbeitsaufträge"", wie es funktioniert";Ich bin mir unsicher;203.47;26.54;;;;;;42.63;;48.66;;;;;18. Sep;;66.74;;;;
34;5;de;530067516;55;weiblich;weniger als 2 Minuten;Nein;1;5;4;1;5;Ja;Ja;5;5;5;3;5;2;1;3;3;Die originelle und kreative IMRERPRETSTION UND Erweiterung von Rahels Werk.;Ich war ratlos was ich tun sollte. Kleine Gebrauchsanweisung wäre gut.;Ja;295.94;31.75;;;;;;39.52;;66.51;;;;;22.29;;135.87;;;;
35;5;de;1759648804;58;weiblich;5-10 Minuten;Nein;3;4;4;3;4;Nein;Ja;4;3;3;3;2;4;2;4;4;Der Ton, Gezwitscher etc.;Doch etwas mehr Anleitung ;Ja;315.09;52.25;;;;;;69.74;;82.77;;;;;30. Jan;;80.23;;;;
36;5;de;584070770;70;männlich;weniger als 2 Minuten;Ja, einmal;3;5;4;2;5;Nein;Ja;5;5;5;5;2;5;4;5;5; ; ;Ja;409.96;48.3;;;;;;198;;91.23;;;;;48.55;;23.88;;;;
37;5;de;2002371404;66;weiblich;2-5 Minuten;Ja, mehrfach;4;3;1;1;2;Ja;Ja;1;5;5;2;5;5;3;2;4;der Sound , farbe;langsame interpolation;Ja;708.69;47.61;;;;;;84.3;;157.35;;;;;50.92;;368.51;;;;
38;5;de;1553065837;34;männlich;2-5 Minuten;Ja, einmal;3;4;4;3;3;Ja;Ja;5;5;4;2;3;5;5;5;5; ; ;Ja;67.32;13.66;;;;;;Mai 59;;14.21;;;;;23.61;;Okt 25;;;;
39;5;de;481740925;63;weiblich;2-5 Minuten;Ja, einmal;4;3;2;2;4;Ja;Ja;3;2;4;2;2;4;4;4;3;Mitmachen;Raffinierter;Ich bin mir unsicher;189.29;41.49;;;;;;28. Apr;;71.73;;;;;18.73;;28.94;;;;
40;5;de;15382862;22;weiblich;2-5 Minuten;Ja, mehrfach;5;5;5;5;5;Ja;Nein;5;5;5;5;5;5;5;5;5;Einblick in interaktiver Kunst;War toll;Ja;187.29;34.07;;;;;;20.81;;60.92;;;;;14.94;;56.55;;;;
41;5;de;1797776967;64;weiblich;weniger als 2 Minuten;Ja, einmal;2;1;1;1;1;Ich bin mir unsicher;Ich bin mir unsicher;1;2;2;1;1;;;;2;plötzliche Bewegung, Ästhetik;Anleitung;Ich bin mir unsicher;197.65;36.66;;;;;;44.73;;46.42;;;;;;;69.84;;;;
42;5;de;76651933;25;weiblich;2-5 Minuten;Nein;5;3;2;2;2;Ja;Ja;4;4;4;3;3;5;5;5;5;interaktion;kontext;Ja;135.8;50.19;;;;;;28. Apr;;22.75;;;;;07. Sep;;26.56;;;;
43;5;de;2119102250;66;männlich;Länger als 10 Minuten;Ja, mehrfach;4;5;5;5;4;Ja;Ja;5;5;5;4;5;5;5;5;5;die optische Darstellung mit den Hintergrundgeräuschen;ein etwas größerer Raum 😏;Ja;189.24;43.41;;;;;;27.39;;35.58;;;;;Dez 52;;70.34;;;;
44;5;de;921046525;22;weiblich;weniger als 2 Minuten;Ja, mehrfach;4;2;2;2;2;Nein;Nein;1;3;1;1;1;;;;3;sieht cool aus;DonT know;Ich bin mir unsicher;229.41;38.56;;;;;;59.68;;71.18;;;;;;;59.99;;;;
