"Zeitstempel","Ich habe die Datenschutzerklärung gelesen und stimme zu.","Wie alt sind Sie? (Angabe in Jahren)","Welchem Geschlecht fühlen Sie sich zugehörig?","Wie lange haben Sie sich in der Installation aufgehalten haben?","Haben Sie bereits Erfahrung mit interaktiven Kunstinstallationen?","Wie sicher fühlen Sie sich im Umgang mit modernen digitalen Technologien","Ich hatte das Gefühl, dass ich in der Umgebung der Projektion tatsächlich anwesend war.","Es schien, als ob ich tatsächlich an der Darstellung beteiligt war.","Es kam mir vor, als hätte sich mein wahrer Standort in die Umgebung der Projektion verschoben.","Ich hatte das Gefühl, dass ich in der Umgebung der Projektion physisch anwesend war.","Die Objekte in der Projektion gaben mir das Gefühl, dass ich mit ihnen etwas anfangen kann.","Ich hatte den Eindruck, dass ich in der Umgebung der Projektion agieren konnte.","Ich hatte das Gefühl, dass ich mich zwischen den Objekten in der Projektion bewegen konnte.","Ich fühlte mich durch die Interaktivität des Systems stärker in das Erlebnis eingebunden.","Ich hatte den Eindruck, dass ich in der Umgebung der Projektion alles tun konnte, was ich wollte.","Haben Sie bemerkt, dass die Blumenprojektion sich durch den/die Sound/Geräusche beeinflussen lässt?","Haben Sie bemerkt, dass Sie die Grashalmprojektion interaktiv beeinflussen können?","Das System reagierte schnell und ohne spürbare Verzögerung auf meine Eingaben.","Die Steuerung des Systems war intuitiv und leicht verständlich.","Ich konnte meine beabsichtigten Aktionen problemlos ausführen.","Wie zufrieden waren Sie insgesamt mit der Rauminstallation?","Was hat Ihnen an der Installation am meisten gefallen?","Was hätte verbessert werden können?","Würden Sie diese Installation weiterempfehlen?"
"2025/02/09 12:57:06 PM OEZ","Ja","27","Männlich","2-5 Minuten","Nein","2","4","3","2","3","4","4","3","4","3","Ja","Ja","2","4","4","4","Blumenvisuals","Interaktion","Ja"
"2025/02/09 1:22:59 PM OEZ","Ja","65","Weiblich","2-5 Minuten","Ja, mehrfach","5","3","1","1","1","5","5","2","5","5","Ja","Nein","","","","5","Blumen","VR","Ja"
"2025/02/09 1:23:05 PM OEZ","Ja","65","Männlich","2-5 Minuten","Ja, mehrfach","5","4","3","4","3","4","3","4","4","4","Ich bin mir unsicher","Nein","","","","5","Bild/Geräusch","","Ja"
"2025/02/09 1:29:42 PM OEZ","Ja","25","Weiblich;Keine Angabe","weniger als 2 Minuten","Nein","5","5","3","3","3","5","3","4","5","3","Nein","Ja","4","3","3","4","Die Installation schafft es, einen durch den Sound und die tollen Bilder einen in die Natur zu transportieren. Das vermittelt einem ein Gefühl von Ruhe und Ausgeglichenheit. Das finde ich an eurer Installation besonders schön. Außerdem ist es toll, interaktiv sein zu können. Mitmachen macht immer mehr Spaß als nur zu betrachten.","Ich fände es zum besseren Verständnis von dem, was ihr tolles geleistet habt gut, wenn noch mehr Details und Hintergründe erklärt werden würden. Also wie man zb die Bewegung des Grases beeinflussen kann. Ansonsten glaube ich habt ihr da die besseren Ideen was man noch verbessern kann. ","Ja"
"2025/02/09 1:33:07 PM OEZ","Ja","40","Weiblich","weniger als 2 Minuten","Ja, mehrfach","5","4","3","3","4","3","4","5","2","2","Ja","Ja","2","4","4","4","Sound ","Reaktionen","Ja"
"2025/02/09 1:33:41 PM OEZ","Ja","59","Weiblich","2-5 Minuten","Ja, mehrfach","3","5","4","2","4","3","3","3","4","2","Ja","Ja","5","1","1","4","Blumen Steigerung","Grashalme","Ja"
"2025/02/09 1:35:16 PM OEZ","Ja","66","Weiblich","weniger als 2 Minuten","Ja, mehrfach","2","4","1","1","3","3","1","3","3","1","Ja","Nein","","","","4","Idee ","Anleitung ","Ja"
"2025/02/09 1:38:20 PM OEZ","Ja","52","Männlich","2-5 Minuten","Ja, einmal","4","3","3","2","1","3","4","2","4","4","Ja","Ja","2","3","2","3","Überrascht ","Klarere Response","Ich bin mir unsicher"
"2025/02/09 1:39:46 PM OEZ","Ja","68","Männlich","2-5 Minuten","Ja, mehrfach","4","4","3","2","3","4","4","3","4","3","Ja","Nein","","","","3","Blumen","Oberlicht","Ja"
"2025/02/09 1:43:25 PM OEZ","Ja","38","Weiblich","weniger als 2 Minuten","Ja, einmal","2","3","2","2","2","3","3","2","3","2","Ja","Nein","","","","3","Sound und visuals","Das bezieht sich auf den 2.raum: Einzelne eintreten lassen oder zu zweit. Angenehmeren Duft oder Vorhänge austauschen. Sitzmöglichkeit","Ja"
"2025/02/09 1:44:09 PM OEZ","Ja","45","Weiblich","weniger als 2 Minuten","Ja, einmal","5","5","4","5","4","4","3","5","5","3","Ja","Nein","","","","5","Digitalisierung","","Ja"
"2025/02/09 1:44:37 PM OEZ","Ja","51","Männlich","2-5 Minuten","Nein","5","2","2","2","2","3","1","2","3","4","Nein","Nein","","","","3","Die Veränderungen der Blüten","","Ich bin mir unsicher"
"2025/02/09 1:49:53 PM OEZ","Ja","75","Weiblich","weniger als 2 Minuten","Nein","1","1","1","5","5","5","1","5","5","1","Ja","Ja","5","5","5","5","Gras","","Ja"
"2025/02/09 1:52:32 PM OEZ","Ja","28","Weiblich","weniger als 2 Minuten","Nein","3","5","5","4","5","4","3","3","4","2","Nein","Nein","","","","4","Geräusche","","Ja"
"2025/02/09 1:52:47 PM OEZ","Ja","51","Weiblich","weniger als 2 Minuten","Ja, mehrfach","3","3","3","3","3","5","3","4","4","3","Ja","Nein","","","","4","Ein Gefühl von Frühling zu bekommen war herrlich ","Keine Ahnung ","Ja"
"2025/02/09 1:53:36 PM OEZ","Ja","14","Weiblich","weniger als 2 Minuten","Ja, mehrfach","3","3","2","2","3","1","2","4","4","3","Ja","Nein","","","","3","Die Geräusche ","Dass die sich verändernden Gemälde noch mehr den Gemälden von Ruysch ähneln und nicht nur Teile davon abgebildet werden ","Ich bin mir unsicher"
"2025/02/09 1:57:54 PM OEZ","Ja","78","Männlich","weniger als 2 Minuten","Nein","5","5","2","2","5","5","3","2","3","2","Ja","Nein","","","","4","Neuer Ansatz ","","Ja"
"2025/02/09 2:03:11 PM OEZ","Ja","58","Männlich","2-5 Minuten","Nein","3","2","1","4","3","2","1","3","1","1","Nein","Nein","","","","4","","","Ja"
"2025/02/09 2:03:56 PM OEZ","Ja","27","Weiblich","weniger als 2 Minuten","Nein","4","2","1","1","3","2","2","3","2","5","Ja","Nein","","","","2","Die Geräusche & das typische ","Größer & nicht nur an den wänden projekziert  & lebens echtet ","Ich bin mir unsicher"
"2025/02/09 2:08:19 PM OEZ","Ja","47","Weiblich","2-5 Minuten","Ja, mehrfach","4","5","1","1","5","3","4","5","2","5","Nein","Ich bin mir unsicher","1","1","3","5","Hinauntauchen 4d ","Einen Raum Pro Installation ","Ja"
"2025/02/09 2:10:03 PM OEZ","Ja","70","Weiblich","2-5 Minuten","Ja, mehrfach","2","3","3","1","5","3","1","1","1","4","Nein","Nein","","","","5","Gras ","","Ja"
"2025/02/09 2:12:02 PM OEZ","Ja","22","Weiblich","weniger als 2 Minuten","Ja, mehrfach","4","3","2","1","2","3","2","1","2","2","Nein","Nein","","","","3","Blumen, die sich immer neu entwickeln ","Zu rasche Wechsel/zu schnelle Bewegung, nicht meditativ genug -> langsamer, ruhiger ","Ich bin mir unsicher"
"2025/02/09 2:13:13 PM OEZ","Ja","65","Weiblich","2-5 Minuten","Nein","1","5","1","1","5","1","1","3","5","1","Nein","Nein","","","","4","Bewegung ","Blumen zu schnell ","Ja"
"2025/02/09 2:20:07 PM OEZ","Ja","55","Weiblich","weniger als 2 Minuten","Nein","5","1","1","1","1","1","1","1","1","1","Nein","Nein","","","","1","Visuell gut","Interaktivität, eimfachere zugang","Ja"
"2025/02/09 2:21:12 PM OEZ","Ja","53","Männlich","5-10 Minuten","Ja, mehrfach","5","3","1","3","5","2","4","4","1","1","Ja","Ja","4","4","4","2","Räumlichkeit","Darstellung","Ich bin mir unsicher"
"2025/02/09 2:24:42 PM OEZ","Ja","63","Männlich","weniger als 2 Minuten","Ja, mehrfach","3","1","1","1","1","1","1","1","1","1","Ich bin mir unsicher","Nein","","","","1","Farbigkeit und Animation der grashalme","Die Interaktion war nicht wirklich wahrnehmbar ","Nein"
"2025/02/09 2:26:12 PM OEZ","Ja","52","Männlich","2-5 Minuten","Ja, mehrfach","5","5","5","5","5","5","4","5","4","4","Ja","Ja","4","4","4","4","","","Ja"
"2025/02/09 2:29:52 PM OEZ","Ja","48","Männlich","weniger als 2 Minuten","Ja, mehrfach","3","2","2","2","2","4","3","3","3","5","Ich bin mir unsicher","Nein","","","","3","Ruhe, abgeschiedenheit","","Ja"
"2025/02/09 2:31:58 PM OEZ","Ja","49","Männlich","weniger als 2 Minuten","Ja, mehrfach","5","3","3","3","3","3","3","3","3","3","Nein","Nein","","","","5","Die farben","","Ja"
"2025/02/09 2:36:32 PM OEZ","Ja","29","Weiblich","weniger als 2 Minuten","Ja, mehrfach","4","3","1","3","2","2","1","1","4","1","Nein","Ich bin mir unsicher","2","1","1","3","","","Ich bin mir unsicher"
"2025/02/09 2:37:13 PM OEZ","Ja","29","Weiblich","weniger als 2 Minuten","Ja, mehrfach","4","5","1","1","3","2","2","4","2","3","Nein","Nein","","","","3","Farben, Idee ","Noch eindeutiger den Zusammenhang zwischen BesucherIn und Installation herausarbeiten ","Ich bin mir unsicher"
"2025/02/09 2:39:31 PM OEZ","Ja","17","Männlich;Weiblich;Divers;Keine Angabe","5-10 Minuten","Ja, mehrfach","3","5","5","5","4","5","5","5","5","1","Ja","Nein","","","","5","Die sound effekte","Anzeige, dass Grashalm interaktiv","Ja"
"2025/02/09 2:46:43 PM OEZ","Ja","52","Männlich","weniger als 2 Minuten","Ja, mehrfach","4","5","2","1","3","3","1","5","3","4","Nein","Nein","","","","4","","Hinweis auf Interaktivităt","Ich bin mir unsicher"
"2025/02/09 2:48:33 PM OEZ","Ja","50","Männlich","2-5 Minuten","Nein","4","3","2","4","4","3","4","2","5","5","Ja","Ich bin mir unsicher","5","5","5","5","Interaktion","Hinweis plakativer","Ja"
"2025/02/09 2:49:11 PM OEZ","Ja","26","Männlich","2-5 Minuten","Ja, mehrfach","5","4","4","3","2","4","3","4","4","2","Ich bin mir unsicher","Ja","3","4","4","4","Grashalme","","Ja"
"2025/02/09 2:51:12 PM OEZ","Ja","17","Weiblich","weniger als 2 Minuten","Nein","4","3","2","2","4","2","2","4","5","3","Ja","Nein","","","","4","","","Ja"
"2025/02/09 2:53:26 PM OEZ","Ja","65","Weiblich","weniger als 2 Minuten","Ja, einmal","3","4","3","3","5","1","1","2","3","1","Nein","Nein","","","","5","Das erlebnis","Anleitung ","Ja"
"2025/02/09 2:53:48 PM OEZ","Ja","26","Männlich","2-5 Minuten","Ja, mehrfach","5","2","2","1","1","4","4","4","4","4","Nein","Ja","2","2","2","4","","","Ja"
"2025/02/09 2:55:36 PM OEZ","Ja","84","Weiblich","2-5 Minuten","Ja, einmal","3","1","1","1","1","5","1","1","1","5","Ja","Nein","","","","5","Lebendigkeit","Mehr Hintergrundwissen","Ich bin mir unsicher"
"2025/02/09 2:58:39 PM OEZ","Ja","41","Weiblich","2-5 Minuten","Ja, mehrfach","4","4","3","3","3","5","3","5","4","5","Ja","Nein","","","","4","Geräusche in Kombi","Geschwindigkeit etwas zu schnell, Gras etwas ruhiger","Ja"
"2025/02/09 2:58:51 PM OEZ","Ja","55","Weiblich","2-5 Minuten","Ja, mehrfach","3","5","4","3","4","4","3","5","5","5","Ja","Nein","","","","5","Farben","","Ja"
"2025/02/09 2:59:17 PM OEZ","Ja","60","Männlich","weniger als 2 Minuten","Nein","3","3","1","1","5","1","2","5","1","1","Nein","Nein","","","","2","Blumen optische ","","Ich bin mir unsicher"
"2025/02/09 3:03:05 PM OEZ","Ja","27","Weiblich","2-5 Minuten","Ja, mehrfach","5","4","3","3","4","4","3","4","4","2","Nein","Ja","3","4","4","4","Geräusch und bewegung ","Begrenzung der personen im rau,","Ja"
"2025/02/09 3:07:07 PM OEZ","Ja","20","Männlich","2-5 Minuten;5-10 Minuten","Ja, einmal","3","3","4","2","3","4","5","2","4","2","Ja","Nein","","","","3","Die größeren Blumenprojektionen","","Ja"
"2025/02/09 3:07:08 PM OEZ","Ja","36","Weiblich","2-5 Minuten","Nein","3","3","4","4","3","2","3","4","3","3","Ja","Ja","2","3","3","4","Bewegtes Gras","Keine Interaktion zwischen Bewegung derzeit Blumen und der Leute ","Ja"
"2025/02/09 3:07:53 PM OEZ","Ja","37","Weiblich","2-5 Minuten","Nein","4","3","1","2","3","5","4","4","5","3","Ja","Nein","","","","5","Kombi aus sehen und hören","Man könnte vielleicht noch Wind hinzufügen für ein intensiveres physisches Erlebnis","Ja"
"2025/02/09 3:13:24 PM OEZ","Ja","65","Männlich","weniger als 2 Minuten","Ja, einmal","3","1","1","1","1","1","1","1","1","5","Nein","Nein","","","","2","","","Ich bin mir unsicher"
"2025/02/09 3:13:28 PM OEZ","Ja","77","Männlich","2-5 Minuten","Ja, einmal","4","5","3","4","5","4","3","5","5","3","Ja","Nein","","","","5","Visuals (bewegumg)","","Ja"
"2025/02/09 3:14:04 PM OEZ","Ja","74","Weiblich","5-10 Minuten","Ja, einmal","3","5","3","3","5","5","4","5","5","4","Ja","Nein","","","","5","Weißen Blumen","","Ja"
"2025/02/09 3:20:24 PM OEZ","Ja","65","Männlich","2-5 Minuten","Ja, mehrfach","1","1","1","1","1","5","1","1","1","5","Ja","Nein","","","","5","Projektion und Beweglichkeit","Hinweis auf Interaktivität","Ja"
"2025/02/09 3:23:25 PM OEZ","Ja","37","Weiblich","2-5 Minuten","Ja, einmal","4","3","3","3","4","3","2","4","3","2","Nein","Ja","3","2","2","3","Blumen","Mehr klar zu sein","Ja"
"2025/02/09 3:23:27 PM OEZ","Ja","26","Männlich","Länger als 10 Minuten","Ja, einmal","2","4","4","3","4","5","5","5","5","3","Ja","Ja","3","4","4","5","","","Ja"
"2025/02/09 3:28:02 PM OEZ","Ja","81","Männlich","2-5 Minuten","Ja, einmal","3","4","1","4","5","5","5","5","5","5","Ja","Ja","5","5","5","5","Blumen","","Ja"
"2025/02/09 3:30:26 PM OEZ","Ja","72","Weiblich","2-5 Minuten","Ja, mehrfach","3","1","1","1","4","4","1","3","1","1","Ja","Nein","","","","3","Gras","","Ich bin mir unsicher"
"2025/02/09 3:30:44 PM OEZ","Ja","31","Männlich","5-10 Minuten","Ja, einmal","3","4","2","2","2","2","2","4","3","2","Ich bin mir unsicher","Ich bin mir unsicher","2","3","2","3","Sound","Technik hat nicht funktioniert ","Ich bin mir unsicher"
"2025/02/09 3:34:56 PM OEZ","Ja","55","Weiblich;Keine Angabe","2-5 Minuten","Ja, mehrfach","4","4","2","3","3","4","3","4","3","5","Ich bin mir unsicher","Nein","","","","4","Farbe","LIEBER ETWAS LANGSAMER","Ja"
"2025/02/09 3:36:18 PM OEZ","Ja","0","Weiblich","2-5 Minuten","Ja, mehrfach","4","5","5","4","4","4","1","2","3","3","Nein","Nein","","","","5","Gras","Boden auch interaktiv","Ja"
"2025/02/09 3:37:00 PM OEZ","Ja","50","Weiblich","2-5 Minuten","Ja, mehrfach","4","3","3","3","2","3","1","2","4","1","Nein","Nein","","","","4","Die Dynamik der Motive und die Geräusche","dass Besucher nicht permanent durchlaufen","Ja"
"2025/02/09 3:41:25 PM OEZ","Ja","58","Weiblich","2-5 Minuten","Ja, mehrfach","3","2","2","2","2","3","3","4","4","4","Nein","Nein","","","","3","Gras","Größerer Raum","Ich bin mir unsicher"
"2025/02/09 3:43:21 PM OEZ","Ja","51","Männlich","2-5 Minuten","Ja, mehrfach","5","4","2","2","3","3","3","3","3","4","Ich bin mir unsicher","Nein","","","","3","Farbintensität","Raum","Ja"
"2025/02/09 3:43:28 PM OEZ","Ja","48","Männlich","2-5 Minuten","Ja, mehrfach","5","4","1","4","2","2","1","1","1","1","Nein","Nein","","","","4","","","Ja"
"2025/02/09 3:46:24 PM OEZ","Ja","32","Männlich","2-5 Minuten","Ja, mehrfach","5","4","4","1","3","5","3","4","4","3","Ja","Ja","2","3","1","4","","","Nein"
"2025/02/09 3:49:47 PM OEZ","Ja","54","Weiblich","5-10 Minuten","Ja, mehrfach","4","4","4","2","4","4","5","4","5","4","Ja","Nein","","","","4","","","Ja"
"2025/02/09 3:51:22 PM OEZ","Ja","45","Weiblich","weniger als 2 Minuten","Ja, mehrfach","4","2","2","2","1","2","2","2","2","2","Ja","Ich bin mir unsicher","1","2","2","3","Blumen","","Ich bin mir unsicher"
"2025/02/09 3:52:46 PM OEZ","Ja","63","Männlich","5-10 Minuten","Ja, mehrfach","4","3","2","2","3","4","3","3","3","3","Ja","Ja","2","3","2","2","Farben","Grössere Räune bsp frida kahlo in wiem","Ja"
"2025/02/09 3:55:13 PM OEZ","Ja","23","Weiblich","2-5 Minuten","Nein","5","2","1","1","1","1","1","1","1","3","Ja","Nein","","","","2","Effekt der Gemälde","Interaktivität","Ich bin mir unsicher"
"2025/02/09 3:55:59 PM OEZ","Ja","67","Männlich","2-5 Minuten","Nein","4","2","1","1","2","3","2","2","2","4","Ja","Nein","","","","2","","","Ich bin mir unsicher"
"2025/02/09 4:06:50 PM OEZ","Ja","62","Weiblich","2-5 Minuten","Ja, mehrfach","2","4","1","2","2","5","2","2","1","1","Nein","Nein","","","","5","Grashalmbewegung","","Ja"
"2025/02/09 4:08:36 PM OEZ","Ja","75","Männlich","5-10 Minuten","Ja, mehrfach","4","4","2","3","5","2","2","5","4","2","Ich bin mir unsicher","Nein","","","","5","Die Ideenvielfalt","Nichts","Ja"
"2025/02/09 4:08:37 PM OEZ","Ja","56","Weiblich","2-5 Minuten","Ja, mehrfach","4","4","4","3","4","4","1","1","5","3","Ja","Ja","5","1","1","5","Die farben, die bewegumg ums soumd","Interaktionwahrneh,ung","Ja"
"2025/02/09 4:11:10 PM OEZ","Ja","32","Weiblich","2-5 Minuten","Ja, mehrfach","4","2","2","2","2","3","4","3","4","2","Ja","Ich bin mir unsicher","2","3","2","3","","","Ja"
"2025/02/09 4:13:12 PM OEZ","Ja","26","Männlich","2-5 Minuten","Nein","5","4","4","5","5","3","4","2","5","5","Ja","Ja","2","5","4","5","Die Programmierer","Die wirksame Fläche / Raum in dem das System reagiert vergrößern ","Ja"
"2025/02/09 5:23:16 PM OEZ","Ja","49","Weiblich","2-5 Minuten","Ja, mehrfach","3","4","3","3","4","4","3","4","4","4","Ja","Ja","4","4","4","4","","","Ja"
"2025/02/09 5:23:18 PM OEZ","Ja","42","Weiblich","2-5 Minuten","Ja, mehrfach","2","4","3","3","4","4","3","4","4","4","Ja","Ja","4","4","4","4","","","Ja"
"2025/02/09 5:26:30 PM OEZ","Ja","67","Männlich","2-5 Minuten","Nein","3","2","2","4","2","4","2","3","5","4","Ja","Ich bin mir unsicher","3","2","3","4","War mal was Neues"," Die Einstiegserklaerung ist nicht leicht verstaendlich","Ja"
"2025/02/09 5:26:35 PM OEZ","Ja","28","Weiblich","weniger als 2 Minuten","Ja, mehrfach","5","2","2","3","3","4","2","1","3","2","Nein","Nein","","","","3","","Mehr raum, da man sivh schnell gehemmt fühlt auf engem raum in Anwesenheit fremder mut dwr Installation zu interagieren ","Ja"
"2025/02/09 5:27:28 PM OEZ","Ja","25","Männlich","2-5 Minuten","Ja, mehrfach","5","4","2","3","4","3","2","4","2","3","Nein","Ich bin mir unsicher","3","1","4","4","'Das Gefühl in eine separate Welt einzutauchen","Es könnte genauer gekennzeichnet werden dass es sehr interaktiv ist","Ja"
"2025/02/09 5:32:12 PM OEZ","Ja","65","Weiblich","2-5 Minuten","Nein","3","1","1","1","3","1","1","3","1","5","Ja","Nein","","","","2","","","Ich bin mir unsicher"
"2025/02/09 5:32:42 PM OEZ","Ja","72","Weiblich","2-5 Minuten","Nein","2","4","4","3","4","4","3","4","5","5","Nein","Nein","","","","5","Konzept, Visuals","Wahrnehmung Interaktivität ","Ja"
"2025/02/09 5:33:36 PM OEZ","Ja","65","Männlich","5-10 Minuten","Ja, einmal","4","4","3","4","4","5","3","4","4","5","Nein","Nein","","","","5","","","Ja"
"2025/02/09 5:38:08 PM OEZ","Ja","26","Weiblich","weniger als 2 Minuten","Ja, einmal","4","4","4","3","4","5","5","5","5","5","Ja","Ja","5","5","5","5","","","Ja"
"2025/02/09 5:40:46 PM OEZ","Ja","61","Weiblich","2-5 Minuten","Ja, mehrfach","2","2","1","1","2","5","1","1","2","5","Nein","Nein","","","","3","Weiße blumen","360 Grad um einen herum","Ja"
"2025/02/09 5:41:34 PM OEZ","Ja","28","Männlich","5-10 Minuten","Ja, mehrfach","5","4","4","4","5","5","4","3","5","4","Nein","Ja","3","3","3","5","Die Farben ","","Ja"
"2025/02/09 5:41:41 PM OEZ","Ja","23","Weiblich;Divers","5-10 Minuten","Ja, mehrfach","4","2","2","2","2","3","2","2","3","1","Ja","Nein","","","","2","Die Geräusche der Natur","Das Interaktive Element klar beschreiben und Darstellen für Besucherinnen. Besucherinnen langsam einführen und ankommen lassen im neuen Element. Durch die vorherige Ausstellung kann schnell eine Reizüberflutung entstehen. Die Pflanzen und Blumen langsamer erscheinen lassen und den Betrachterinnen Zeit geben sich auf die Installation einzulassen.","Ja"
"2025/02/09 5:44:41 PM OEZ","Ja","27","Weiblich","weniger als 2 Minuten","Nein","5","4","4","3","4","4","4","3","3","3","Ja","Ja","4","4","4","4","Grashalme","Zu viele pixel","Ja"
"2025/02/09 5:44:45 PM OEZ","Ja","30","Weiblich","weniger als 2 Minuten","Ja, einmal","5","3","4","4","4","4","3","3","4","4","Nein","Ich bin mir unsicher","4","3","3","4","","","Ja"
"2025/02/09 5:48:12 PM OEZ","Ja","30","Weiblich","2-5 Minuten","Ja, mehrfach","5","2","2","2","2","2","2","2","2","2","Nein","Ja","2","2","2","2","Das Geräusch","Fühlt ein bisschen zu einfach in vergleich mit der Ausstellung. ","Ich bin mir unsicher"
"2025/02/09 5:55:36 PM OEZ","Ja","32","Weiblich","2-5 Minuten","Ja, mehrfach","4","3","4","4","4","4","4","4","4","3","Ich bin mir unsicher","Nein","","","","5","","Die Musik ","Ja"
"2025/02/09 5:56:28 PM OEZ","Ja","58","Weiblich","2-5 Minuten","Ja, einmal","3","2","1","1","1","3","3","4","1","3","Ja","Nein","","","","4","Interpolation","Realisierung der interaktion","Ja"
"2025/02/09 5:56:49 PM OEZ","Ja","41","Weiblich","2-5 Minuten","Ja, mehrfach","4","3","2","2","3","4","3","4","3","4","Ja","Nein","","","","3","Tulpen","Natürlichere blumen","Ja"
"2025/02/09 6:03:15 PM OEZ","Ja","27","Weiblich","2-5 Minuten","Ja, mehrfach","2","2","1","1","3","2","1","2","3","3","Nein","Nein","","","","2","Ruhe wurde ausgestrahlt","Interaktion nicht wahrnehmbar","Nein"
"2025/02/09 6:03:25 PM OEZ","Ja","58","Männlich","weniger als 2 Minuten","Ja, mehrfach","5","5","3","3","5","5","3","5","3","5","Nein","Nein","","","","5","Menschliche Interaktion unterstütung ","Führung ","Ja"
"2025/02/09 6:08:52 PM OEZ","Ja","53","Weiblich","weniger als 2 Minuten","Nein","2","2","2","4","2","2","2","2","2","2","Nein","Nein","","","","2","Die Grasinstallation","Einweisung in der Installation?","Nein"
"2025/02/09 6:10:09 PM OEZ","Ja","57","Weiblich","2-5 Minuten","Ja, mehrfach","5","2","5","5","5","4","5","4","5","2","Ja","Nein","","","","5","Gras und Sound","Weiße Linien geometrisch ","Ja"
"2025/02/09 6:11:02 PM OEZ","Ja","16","Weiblich","2-5 Minuten","Ja, mehrfach","3","3","2","3","2","2","3","4","4","4","Ich bin mir unsicher","Ja","2","3","2","3","Das gras","Ich fand es super","Ja"
"2025/02/09 6:14:53 PM OEZ","Ja","60","Weiblich","2-5 Minuten","Ja, mehrfach","1","2","1","1","3","2","2","2","2","4","Ja","Nein","","","","2","","","Nein"
"2025/02/09 6:15:54 PM OEZ","Ja","21","Männlich","weniger als 2 Minuten;2-5 Minuten","Nein","4","3","2","3","3","2","2","3","3","2","Ich bin mir unsicher","Ja","2","2","1","2","Auflösung ","Interaktion","Ja"
"2025/02/09 6:19:04 PM OEZ","Ja","21","Männlich","2-5 Minuten","Nein","3","1","2","2","2","3","3","2","4","1","Nein","Ja","1","1","2","4","Die sympathischen Studenten","Mehr Interaktion ","Ja"
"2025/02/09 6:21:00 PM OEZ","Ja","35","Weiblich","2-5 Minuten","Ja, einmal","4","3","3","2","4","4","4","3","5","4","Ich bin mir unsicher","Ich bin mir unsicher","3","4","3","4","Schnelle Wechsel der verschiedenen Blüten","","Ja"
"2025/02/09 6:26:24 PM OEZ","Ja","64","Männlich","weniger als 2 Minuten","Ja, einmal","3","2","2","1","1","2","1","1","2","1","Nein","Nein","","","","3","Die Farben und Detalletreue","Grösse der Projektion (grösser)","Ja"
"2025/02/09 6:29:10 PM OEZ","Ja","18","Weiblich","weniger als 2 Minuten","Ja, mehrfach","4","5","4","4","3","3","2","2","4","3","Ja","Nein","","","","4","Das Gefühl, frei zu sein und dass Geräusche und Bilder abgestimmt sind","Die Grashalmen könnten offensichtlicher beeinflusst werden","Ja"
"2025/02/09 6:29:33 PM OEZ","Ja","18","Weiblich","weniger als 2 Minuten","Ja, mehrfach","5","4","3","2","5","4","3","5","4","5","Nein","Nein","","","","4","Dass man sich in die Kunst einfühlen konnte und quasi live dabei war.","Dass die Bilder auf dich reagieren.","Ja"
"2025/02/09 6:30:16 PM OEZ","Ja","17","Weiblich","weniger als 2 Minuten","Ja, mehrfach","5","4","4","3","5","3","3","5","4","4","Nein","Nein","","","","5","Die bunten Farbvarianten und angenehme Geräuschkulisse zu den Bilder","Interaktion der Geräusche mit Umgebung und Bilder","Ja"
"2025/02/09 7:11:13 PM OEZ","Ja","23","Männlich","Länger als 10 Minuten","Ja, einmal","3","4","5","4","3","3","4","3","5","3","Ja","Ja","3","5","4","4","Interaktiv und dadurch leichtere Verbindung zu Kunst","Projektion hatte etwas Verzögerung ","Ja"
"2025/02/11 12:42:52 PM OEZ","Ja","33","Männlich","5-10 Minuten","Ja, einmal","5","3","2","1","1","2","4","2","4","3","Nein","Nein","","","","2","Die Bilder","Das ist Simons Testantwort","Ich bin mir unsicher"